,,Status Id,,Campus Pref,,,,Discpline Pref.,,,,Matriculation,,,,Intermediate,,,,,,NU Test Marks,,SAT I ,,SAT II,,,NU Merit Marks,,NTS Admission Offer,,NU Admission Offer,,Admission,,,,,,,,,,,,,,,,,,,,,,,,,
L,CITY,STATUS_ID,STATUS,Ist,2nd,3rd,4th,Ist,2nd,3rd,4th,Board,Degree,Total,Obtained,Board,Degree,Total,Obtained,NTS_MARKS,NU_TEST_CENTER,BBA,BS,Total,Obtained,Total,Obtained,NTS Merit Marks,BBA/BS(AF),BS,Campus,Discipline,Campus,Discipline,Campus,Discipline,DEGREE_STATUS,,,,,,,,,,,,,,,,,,,,,,,
1900045,Rawalpindi,1,PersonalInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900046,Islamabad,2,AcademicInfo,,,,,,,,,Cambridge,O-Level,900,788,,,,788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900048,Lahore,10,Admit Card Printed,LHR,,,,BS(EE),,,,Lahore,SSC,1100,915,,,,915,,LHR,,22.416667,,,,,,,48.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900049,Sialkot,8,Fee Paid,PWR,,,,BS(EE),,,,Gujranwala,SSC,1100,983,Gujranwala,HSSC-I,520,983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900050,Mirpur Khas,10,Admit Card Printed,KHI,,,,BS(SE),BS(CS),,,Mirpur Khas,SSC,850,646,Mirpur Khas,HSSC (I+II),1100,646,,KHI,,18.965278,,,,,,,41.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900051,Sheikhupura ,6,Declaration,ISB,,,,BBA,,,,Federal,SSC,1050,924,,,,924,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900052,Karachi ,2,AcademicInfo,,,,,,,,,Cambridge,O-Level,900,596,Cambridge,A-Level,1100,596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900053,Karachi ,2,AcademicInfo,,,,,,,,,Karachi,SSC,850,526,Karachi,HSSC (I+II),1100,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900054,Rawalpindi,10,Admit Card Printed,ISB,,,,BS(CS),BS(EE),BS(AI),,Rawalpindi,SSC,1100,946,,,,946,,ISB,,40.402775,,,,,,,58.9,,,ISB,BS(AI),ISB,BS(AI)    ,Current,,,,,,,,,,,,,,,,,,,,,,,
1900055,Lahore,10,Admit Card Printed,LHR,,,,BS(CS),,,,Cambridge,O-Level,900,793,,,,793,,LHR,,66.062497,,,,,,,72.68,,,LHR,BS(CS),,,,,,,,,,,,,,,,,,,,,,,,,,
1900056,Multan,2,AcademicInfo,,,,,,,,,Multan,SSC,1100,888,Multan,HSSC (I+II),1100,888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900057,Multan,1,PersonalInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
